total_amount,generated_clients,attended_clients,clients_type1,clients_type2,clients_type3,clients_type4,final_time,avg_wait_seller,avg_wait_technician,avg_wait_special,avg_time_in_system,seller_utilization,technician_utilization,special_utilization,seller_idle_pct,technician_idle_pct,special_idle_pct
6650,21,21,6,9,4,2,480.38583766132,0,0,0,24.235918973897757,11.69320121760573,22.592917193865098,14.86699149399592,88.30679878239427,77.4070828061349,85.13300850600407
6350,22,22,10,6,1,5,507.8489641932283,0,0,0,17.23122099506518,10.623669762139013,18.57529125373079,2.0032162752450144,89.37633023786098,81.4247087462692,97.99678372475499
5850,25,25,14,6,0,5,484.1431896404668,0,0,0,19.26903249619636,12.836560628534738,24.895474331317754,0.0,87.16343937146526,75.10452566868224,100.0
8750,22,22,7,5,2,8,466.9647344171091,0,0,0,23.65614641118278,11.786892360745323,25.069723624019737,9.641048791037903,88.21310763925467,74.93027637598027,90.3589512089621
8200,21,21,6,7,1,7,524.9077497769447,0,0,0,17.175224873595344,10.160901781670079,17.63689946919762,1.9091068510465763,89.83909821832992,82.36310053080238,98.09089314895343
6500,24,24,12,5,2,5,478.88375789986105,0,0,0,24.95387404790477,13.004295307030619,30.833971087001146,6.258866364459184,86.99570469296938,69.16602891299885,93.74113363554082
5750,21,21,9,5,5,2,489.65944880478986,0,0,0,21.13105166207183,10.520423322047263,15.893415190129085,17.196755528084104,89.47957667795274,84.10658480987091,82.80324447191589
4850,24,24,14,6,1,3,535.3052020668337,0,0,0,22.421933571842132,13.524548657731348,26.867332028437684,4.458574458434905,86.47545134226866,73.13266797156231,95.54142554156509
9000,22,22,6,5,4,7,498.2697479528832,0,0,0,17.402364423231212,11.52029519600612,15.58862299157266,9.954377573079503,88.47970480399388,84.41137700842734,90.0456224269205
3500,22,22,14,5,2,1,484.44699114126746,0,0,0,17.975065822378,12.558033338928453,16.801047083704976,6.866510423593981,87.44196666107155,83.19895291629503,93.13348957640602
5000,22,22,12,5,2,3,479.5572199899229,0,0,0,20.89020893024746,10.629450039585517,20.299273730538058,13.590069659515647,89.37054996041448,79.70072626946194,86.40993034048435
8700,22,22,5,7,5,5,535.3838779460959,0,0,0,19.12034149584904,10.652857455599538,10.028646285774345,36.243244754119345,89.34714254440047,89.97135371422566,63.756755245880655
5200,23,23,12,7,1,3,477.38525373739174,0,0,0,19.493238274440206,11.830812108080575,21.812210349561077,4.3068448001816115,88.16918789191942,78.18778965043893,95.69315519981839
6950,23,23,9,7,3,4,502.95727467363554,0,0,0,18.06578084486804,12.626746255400171,17.32044437154592,9.350374256221256,87.37325374459982,82.67955562845408,90.64962574377874
4700,21,21,13,2,2,4,460.8312664392779,0,0,0,19.459755058440685,11.419118583654875,19.49497507045934,3.8132660019902382,88.58088141634512,80.50502492954067,96.18673399800976
7600,24,24,10,6,2,6,514.7493476649164,0,0,0,20.3943199932168,12.268751291309563,23.711883953081298,6.298445524220961,87.73124870869043,76.2881160469187,93.70155447577903
7500,22,22,8,5,4,5,512.419631377184,0,0,0,21.79829355248725,11.837908981463684,19.76860498465261,16.927212532014675,88.16209101853632,80.23139501534739,83.07278746798532
7050,22,22,5,13,2,2,512.5987271513414,0,0,0,23.30749304035728,11.383451910969939,26.564346061352378,4.3660677623071935,88.61654808903006,73.43565393864762,95.6339322376928
6500,23,23,11,5,2,5,497.59861435068103,0,0,0,20.681916742630744,9.854455498598298,26.23134603468994,0.6979019571725842,90.1455445014017,73.76865396531007,99.30209804282741
7250,22,22,9,5,2,6,505.19520370728753,0,0,0,23.652799526896583,11.616430363189,21.933265800809398,19.3760063694698,88.383569636811,78.0667341991906,80.62399363053021
